gvkey,iid,cik,first_date,last_date
061356,01,1076930,1999-04-14,2025-08-05
196269,01,1429260,2011-07-15,2025-08-14
004842,02,38067,1994-04-28,2015-11-03
170307,01,711665,2011-08-12,2019-11-06
025714,90W,1263043,2003-09-15,2025-08-14
101352,03W,886125,2002-03-29,2016-04-28
183830,07,1474098,2010-03-24,2025-05-01
008007,11,72971,1994-03-08,2025-08-05
183603,04,1467076,2009-11-12,2016-11-09
010121,03W,1032033,1997-06-13,2014-05-12
015803,02W,827809,2002-11-13,2019-05-07
177225,01,1175609,2007-02-13,2018-05-02
166061,01,1340282,2005-10-07,2015-07-20
148169,01,1093649,2002-06-12,2014-07-31
024922,01,882154,1996-08-12,2016-05-06
177982,02,1396838,2007-04-26,2013-11-12
019605,01,81955,1996-03-29,2025-08-04
020684,01,1334388,2006-06-02,2021-11-08
187699,90,1513847,2011-07-22,2012-07-12
010121,03,1032033,1997-06-13,2014-05-12
002086,01W,10456,1994-03-21,2025-08-05
121142,02W,1065837,1998-07-29,2025-08-08
194755,05,1521847,2011-06-23,2019-08-05
175347,05,1366340,2006-06-21,2013-05-09
011842,02,7789,1995-05-15,2025-07-24
002337,05C,1393066,2007-11-09,2022-11-03
170617,03W,1326801,2012-02-01,2025-05-01
027954,01,897424,1995-02-02,2021-02-05
007974,03,1111711,2001-03-30,2025-08-06
006078,01,51253,1994-05-13,2025-08-05
117036,01,1071255,1998-10-23,2025-08-08
186109,01,1502377,2010-09-29,2025-08-13
163586,01,1302707,2005-03-02,2015-05-01
015337,01,783005,1996-05-29,2020-05-14
185428,01,1235007,2010-08-17,2018-11-08
002721,92W,16988,2000-06-14,2024-02-26
181617,01,1145404,2009-03-26,2013-11-07
005357,02,1094831,2012-05-24,2012-05-24
029627,01,1088162,2002-09-30,2017-02-02
004598,01,230211,1994-01-14,2016-03-17
155394,01,1065696,2003-07-28,2025-07-24
017667,01,1414932,2007-12-10,2025-08-05
018049,01,37808,1995-05-11,2025-08-06
182788,03,1040719,2009-08-14,2019-04-16
001602,90W,318154,1994-05-12,2025-08-06
002111,04,10795,1994-02-11,2025-08-07
014563,02,1333274,2006-03-14,2025-07-31
008463,01,1548223,2012-05-08,2012-08-03
063987,90,1468091,2010-02-12,2025-08-22
014140,01W,891478,2002-11-25,2025-04-30
004245,02W,737572,1996-09-06,2013-10-24
063987,02W,1468091,2010-02-12,2025-08-22
136684,09C,1533232,2012-04-30,2025-08-01
015617,02W,1039765,2002-10-24,2025-05-02
006213,01,351903,1995-02-14,2013-02-07
003643,01,39263,1994-03-30,2025-07-31
061409,01,949039,1996-05-22,2024-08-07
027780,19,894315,1996-05-15,2025-08-05
012994,01,43350,1995-05-15,2017-08-09
017878,01,1556593,2012-10-23,2025-08-01
003643,03,39263,1994-03-30,2025-07-31
012616,01W,104040,2002-12-09,2013-01-31
027845,02,884629,1995-11-13,2013-10-31
184880,01,1491501,2010-05-13,2013-08-06
178851,02,1403853,2007-10-05,2021-11-15
061067,02W,1071371,2003-03-03,2025-05-16
178851,04,1403853,2007-10-05,2021-11-15
002282,01,33769,1994-03-08,2017-12-06
031564,01,935036,1996-05-15,2025-08-07
165358,01,1344596,2006-03-28,2018-10-30
157679,01,1308606,2013-03-29,2023-11-02
025896,01,891919,1996-06-19,2015-12-09
203480,90,1015650,2003-06-03,2025-08-06
063892,01W,1021860,1996-08-29,2025-04-29
111873,02,1528849,2011-09-09,2025-06-12
036039,01,1550453,2012-10-22,2025-08-14
211732,02W,1347426,2006-01-06,2025-08-27
133768,01W,1099219,1999-11-23,2025-08-07
015208,20,1026214,2008-08-06,2025-07-31
015208,19,1026214,2008-08-06,2025-07-31
015208,18,1026214,2008-08-06,2025-07-31
022461,01,719866,1996-06-28,2017-02-06
014734,01,826735,1995-02-28,2025-06-25
186714,01,1366684,2011-03-11,2015-11-06
018441,04,1576018,2013-05-14,2025-08-04
065142,01,1517228,2013-08-02,2025-08-04
